job_id,reason,detail,company,title,url
reco-020926928318,filter_description,"job lacks any relevant skill or title keyword (python, fastapi, django, ai, artificial intelligence)",S&P Global Market Intelligence,Data Analyst- Geology,https://www.naukri.com/job-listings-020926928318
reco-010926037814,filter_title,title lacks any required keyword,teamplus staffing solution,BI Engineer- Data Engineering - office Job Pune / Gurgoan/ Noida,https://www.naukri.com/job-listings-010926037814
reco-310826923558,filter_title,title contains blocked term 'dotnet',Hitachi Energy,R&D Full Stack DOT NET Engineer - IDC,https://www.naukri.com/job-listings-310826923558
reco-010926503205,filter_title,title lacks any required keyword,Swiss Re,Application Engineer I,https://www.naukri.com/job-listings-010926503205
reco-020926920863,filter_title,title lacks any required keyword,Leading Client,IT Audit Professional - Code Review,https://www.naukri.com/job-listings-020926920863
reco-020926009740,filter_title,title lacks any required keyword,Tech SMCSquared GCC,Software engineer_Frontend_Contract,https://www.naukri.com/job-listings-020926009740
reco-270826013741,filter_freshness,posted 7d ago > max 5d,Lenskart,Backend Engineer (Java),https://www.naukri.com/job-listings-270826013741
reco-010926008560,filter_title,title lacks any required keyword,Sagility India,Data Scientist,https://www.naukri.com/job-listings-010926008560
reco-240626037049,filter_title,title lacks any required keyword,Celebal Technologies,Data Scientist,https://www.naukri.com/job-listings-240626037049
reco-020926035027,filter_title,title lacks any required keyword,PDA E Services,Full-Stack Developer,https://www.naukri.com/job-listings-020926035027
reco-010926011920,filter_title,title lacks any required keyword,Adecco India,DevOps Engineer,https://www.naukri.com/job-listings-010926011920
reco-260826926257,filter_freshness,posted 7d ago > max 5d,S&P Global Market Intelligence,"Software Engineer, Backend Development (Python)",https://www.naukri.com/job-listings-260826926257
reco-020926005934,filter_title,title lacks any required keyword,Dysrupit India,DevOps Engineer / Platform Engineer,https://www.naukri.com/job-listings-020926005934
reco-010926011031,filter_description,"job lacks any relevant skill or title keyword (python, fastapi, django, ai, artificial intelligence)",National Institute for Smart Government (NISG),Cloud Computing - Delhi - CDOT,https://www.naukri.com/job-listings-010926011031
reco-310826000869,filter_description,"job lacks any relevant skill or title keyword (python, fastapi, django, ai, artificial intelligence)",Leading Client,Software Tester,https://www.naukri.com/job-listings-310826000869
reco-260826504885,filter_freshness,posted 7d ago > max 5d,Numerator,Software Engineer,https://www.naukri.com/job-listings-260826504885
reco-240826011208,filter_freshness,posted 9d ago > max 5d,OYO,Software Developer 2- Product Based Companies,https://www.naukri.com/job-listings-240826011208
reco-020926032897,filter_title,title lacks any required keyword,Flobiz A Unit Of Valorem Stack,SDE 1 Backend | Flobiz,https://www.naukri.com/job-listings-020926032897
reco-010926022093,filter_title,title lacks any required keyword,EY,AWS Cloud Native-Full Stack Engineer,https://www.naukri.com/job-listings-010926022093
reco-310826019655,filter_title,title lacks any required keyword,Quantiphi Analytics Solutions,Platform Engineer - Junior/Senior,https://www.naukri.com/job-listings-310826019655
reco-260826926286,filter_freshness,posted 7d ago > max 5d,TP,Software Developer I,https://www.naukri.com/job-listings-260826926286
reco-260826008753,filter_freshness,posted 8d ago > max 5d,goML,Artificial Intelligence Engineer,https://www.naukri.com/job-listings-260826008753
reco-280826005252,filter_freshness,posted 6d ago > max 5d,Hiring for Infosys,Hiring For Agentic AI,https://www.naukri.com/job-listings-280826005252
reco-270826023160,filter_freshness,posted 6d ago > max 5d,CGI,AI Automation,https://www.naukri.com/job-listings-270826023160
reco-170826919951,filter_description,"job lacks any relevant skill or title keyword (python, fastapi, django, ai, artificial intelligence)",ZS,Associate Lead - Platform Services,https://www.naukri.com/job-listings-170826919951
reco-020926030098,filter_title,title lacks any required keyword,Cardinal Health,"Analyst, Data Engineering",https://www.naukri.com/job-listings-020926030098
reco-300726030575,filter_title,title lacks any required keyword,LRR Technologies,Node Js Developer For Top MNC,https://www.naukri.com/job-listings-300726030575
reco-200826034122,filter_freshness,posted 13d ago > max 5d,Hotelogix,Python Developer,https://www.naukri.com/job-listings-200826034122
reco-280826006053,filter_title,title lacks any required keyword,Bajaj Finance,Data Scientist,https://www.naukri.com/job-listings-280826006053
reco-020926021061,filter_title,title lacks any required keyword,Ericsson,Infrastructure Engineer (Kubernetes + Linux + Networking),https://www.naukri.com/job-listings-020926021061
reco-270826016885,filter_freshness,posted 6d ago > max 5d,Tata Consultancy Services,Artificial Intelligence Engineer,https://www.naukri.com/job-listings-270826016885
reco-170826500387,filter_freshness,posted 16d ago > max 5d,Sophos,Software Engineer (SDET),https://www.naukri.com/job-listings-170826500387
reco-120626013780,filter_title,title lacks any required keyword,Fatakpay Digital,Software Development Engineer - Fullstack,https://www.naukri.com/job-listings-120626013780
reco-210826907320,filter_title,title lacks any required keyword,Pepsico,Manager - Cloud and Devops Engineer,https://www.naukri.com/job-listings-210826907320
reco-020926030891,filter_title,title lacks any required keyword,Sunrise Biztech Systems,Software Development Engineer,https://www.naukri.com/job-listings-020926030891
reco-020926032719,filter_title,title lacks any required keyword,Winjit Technologies,DevOps Engineer,https://www.naukri.com/job-listings-020926032719
reco-130826015280,filter_title,title lacks any required keyword,Info Edge,SDET,https://www.naukri.com/job-listings-130826015280
reco-020926014445,filter_title,title lacks any required keyword,Lenskart,Walk-in || Software Development Test Engineer,https://www.naukri.com/job-listings-020926014445
reco-310826015394,filter_title,title lacks any required keyword,Cloudkeeper,Cloud Engineer,https://www.naukri.com/job-listings-310826015394
reco-300826004396,filter_title,title lacks any required keyword,Atos,Cloud & DevOps Engineer,https://www.naukri.com/job-listings-300826004396
reco-130826023683,filter_freshness,posted 20d ago > max 5d,Qualys,Software Developer - (Agent),https://www.naukri.com/job-listings-130826023683
reco-270826919669,filter_title,title lacks any required keyword,Conduent,App Dev & Support Engineer I,https://www.naukri.com/job-listings-270826919669
reco-010926037314,filter_title,title contains blocked term 'golang developer',Siemens,Golang Developer,https://www.naukri.com/job-listings-010926037314
reco-310826503003,filter_title,title contains blocked term 'intern',ONE Impression,AI Generalist Intern,https://www.naukri.com/job-listings-310826503003
reco-020926928325,filter_title,title lacks any required keyword,F5,Software Development Engineer II,https://www.naukri.com/job-listings-020926928325
reco-130826030259,filter_freshness,posted 20d ago > max 5d,ZS,LLM Engineer,https://www.naukri.com/job-listings-130826030259
reco-310826024486,filter_title,title lacks any required keyword,Nxtwave Disruptive Technologies(Hiring for a client),Voice Bot Developer,https://www.naukri.com/job-listings-310826024486
reco-310826917896,filter_title,title lacks any required keyword,Accenture,Application Lead,https://www.naukri.com/job-listings-310826917896
reco-310826919391,filter_title,title lacks any required keyword,Accenture,Application Developer,https://www.naukri.com/job-listings-310826919391
reco-310826919392,filter_title,title lacks any required keyword,Accenture,Technology Platform Engineer,https://www.naukri.com/job-listings-310826919392
reco-200826027145,filter_title,title lacks any required keyword,Infosys,Java + React.js Developer (2-3yrs),https://www.naukri.com/job-listings-200826027145
reco-170826929563,filter_freshness,posted 16d ago > max 5d,Paytm,Senior Software Engineer-Frontend (Full Stack),https://www.naukri.com/job-listings-170826929563
reco-260826026801,filter_description,job contains blocked term 'prefers women',Infosys,Python Software Developer,https://www.naukri.com/job-listings-260826026801
reco-200826920707,filter_title,title lacks any required keyword,Infosys,Full Stack Developer,https://www.naukri.com/job-listings-200826920707
reco-180826022696,walkin,walk-in drive,HCLTech,Walk-in || Artificial Intelligence Engineer,https://www.naukri.com/job-listings-180826022696
reco-300826003511,filter_description,"job lacks any relevant skill or title keyword (python, fastapi, django, ai, artificial intelligence)",BT Group,Software Engineering Professional_Fullstack,https://www.naukri.com/job-listings-300826003511
reco-170826919935,filter_title,title lacks any required keyword,ZS Associates (India) Pvt Ltd,Senior Engineer - Large Language Model Engineer,https://www.naukri.com/job-listings-170826919935
reco-130826021391,filter_title,title lacks any required keyword,Lenskart,C# Developer,https://www.naukri.com/job-listings-130826021391
reco-020926504296,filter_title,title lacks any required keyword,Virtualware Innovations,Fullstack Developer,https://www.naukri.com/job-listings-020926504296
reco-180826043578,filter_title,title contains blocked term 'java developer',Crisil,Java Developer,https://www.naukri.com/job-listings-180826043578
reco-020926927355,filter_title,title lacks any required keyword,Capgemini,Azure Devops Engineer,https://www.naukri.com/job-listings-020926927355
reco-310826500902,filter_title,title lacks any required keyword,Brigosha Technologies,Java + Angular Full Stack Developer,https://www.naukri.com/job-listings-310826500902
reco-310826010188,filter_title,title lacks any required keyword,ADP Private Limited,Walk-in || Fullstack Developer (Java + AWS) - Immediate Joiners,https://www.naukri.com/job-listings-310826010188
reco-310826505232,filter_title,title lacks any required keyword,IBU Consulting,fullstack developer (node+react),https://www.naukri.com/job-listings-310826505232
reco-310826025324,filter_title,title lacks any required keyword,Only B2B,Full Stack Mobile App Developer,https://www.naukri.com/job-listings-310826025324
reco-030926011104,filter_title,title lacks any required keyword,Zclus India,Java Back End Developer,https://www.naukri.com/job-listings-030926011104
reco-270826919773,filter_freshness,posted 6d ago > max 5d,CGI,Software Engineer - DevSecOps,https://www.naukri.com/job-listings-270826919773
reco-020926033769,filter_title,title lacks any required keyword,Solugenix,Full Stack Engineer (Angular with Java),https://www.naukri.com/job-listings-020926033769
reco-020926025858,filter_title,title lacks any required keyword,Metlife,JavaScript Automation Engineer,https://www.naukri.com/job-listings-020926025858
reco-010926505547,filter_title,title lacks any required keyword,Innocode Ventures,API Developer,https://www.naukri.com/job-listings-010926505547
reco-220726020027,filter_title,title lacks any required keyword,Karya.cloud,React.js Mobile App Developer,https://www.naukri.com/job-listings-220726020027
reco-020926021172,filter_description,"job lacks any relevant skill or title keyword (python, fastapi, django, ai, artificial intelligence)",Eurofins,Dot net full stack developer,https://www.naukri.com/job-listings-020926021172
reco-060826014190,filter_title,title lacks any required keyword,Smart Ims,Java Back End Developer,https://www.naukri.com/job-listings-060826014190
reco-300826004331,filter_title,title lacks any required keyword,Nooha Asp,Java Spring Boot Developer,https://www.naukri.com/job-listings-300826004331
reco-010926501105,filter_title,title lacks any required keyword,Tessolve,CLoud Developer,https://www.naukri.com/job-listings-010926501105
reco-010926029127,filter_title,title lacks any required keyword,Numinolabs,Fullstack Developer,https://www.naukri.com/job-listings-010926029127
reco-260826927804,filter_freshness,posted 7d ago > max 5d,Capgemini,Agentic AI Developer,https://www.naukri.com/job-listings-260826927804
reco-010926035695,filter_title,title lacks any required keyword,Kiya.ai,Java Full Stack Developer,https://www.naukri.com/job-listings-010926035695
reco-020926915994,filter_title,title lacks any required keyword,Althi Solutions,Frontend Developer,https://www.naukri.com/job-listings-020926915994
reco-010926029139,filter_title,title lacks any required keyword,Numinolabs,Frontend Engineer,https://www.naukri.com/job-listings-010926029139
reco-080625004466,filter_title,title lacks any required keyword,Isoftwarefactory,Java Spring Boot Developer 0-2 yrs | Mumbai only,https://www.naukri.com/job-listings-080625004466
reco-020926022893,filter_title,title lacks any required keyword,Oak Tree Software Pvt Ltd,Mern Full Stack Developer,https://www.naukri.com/job-listings-020926022893
reco-010926035553,filter_title,title lacks any required keyword,V2soft,Data Scientist,https://www.naukri.com/job-listings-010926035553
reco-010926020073,filter_title,title lacks any required keyword,WNS Holdings,WNS Hiring For Data Scientist - AIML,https://www.naukri.com/job-listings-010926020073
reco-010926933270,filter_title,title lacks any required keyword,UPS Supply Chain Solutions (UPS SCS),Data Scientist,https://www.naukri.com/job-listings-010926933270
reco-020926025411,filter_description,"job lacks any relevant skill or title keyword (python, fastapi, django, ai, artificial intelligence)",Yaltech Consulting,Ui Ux Developer,https://www.naukri.com/job-listings-020926025411
reco-020926018099,filter_title,title lacks any required keyword,IntelliaTech,Java Full Stack Developer,https://www.naukri.com/job-listings-020926018099
reco-020926927347,filter_title,title lacks any required keyword,Capgemini,Angular Frontend Developer,https://www.naukri.com/job-listings-020926927347
reco-080626007968,filter_title,title lacks any required keyword,Bahwan CyberTek,SDE 1 - Strong DSA,https://www.naukri.com/job-listings-080626007968
reco-010926014444,filter_title,title contains blocked term 'dotnet',Tychon Solutions,Dot Net Core Developer,https://www.naukri.com/job-listings-010926014444
reco-010926018394,filter_title,title lacks any required keyword,Accenture,Urgent Opening || Java Fullstack Developer || Mumbai,https://www.naukri.com/job-listings-010926018394
reco-020926011292,filter_title,title lacks any required keyword,Tata Consultancy Services,Senior Java Fullstack Developer,https://www.naukri.com/job-listings-020926011292
reco-010926932660,filter_title,title lacks any required keyword,Prodapt Solutions,Lead Engineer-Cassandra-Mongodb,https://www.naukri.com/job-listings-010926932660
reco-290526017397,filter_title,title contains blocked term 'golang developer',HCLTech,Golang Developer,https://www.naukri.com/job-listings-290526017397
reco-260826503811,filter_description,"job lacks any relevant skill or title keyword (python, fastapi, django, ai, artificial intelligence)",Money View,Software Development Engineer - 1,https://www.naukri.com/job-listings-260826503811
reco-190826502968,filter_freshness,posted 14d ago > max 5d,Mastercard,Software Engineer II,https://www.naukri.com/job-listings-190826502968
reco-010926504201,filter_title,title lacks any required keyword,ADCC Global,Backend & DevOps Engineer,https://www.naukri.com/job-listings-010926504201
reco-260826018033,filter_freshness,posted 7d ago > max 5d,Ihcs Technologies,Fullstack Python Developer,https://www.naukri.com/job-listings-260826018033
reco-310826503326,filter_title,title lacks any required keyword,Accrete Infosolution Technologies,Data Scientist,https://www.naukri.com/job-listings-310826503326
reco-020926011819,filter_title,title contains blocked term 'golang developer',CIEL HR,Golang Developer,https://www.naukri.com/job-listings-020926011819
reco-020926500353,filter_title,title lacks any required keyword,Numentica,Full Stack Engineer,https://www.naukri.com/job-listings-020926500353
